finger1_BaseJoint finger2_BaseJoint finger3_BaseJoint brick_translate_y_joint finger1_MidJoint finger2_MidJoint finger3_MidJoint brick_translate_z_joint brick_revolute_x_joint 
-0.87208214 -0.61813171 -0.25661522 -0.00337111  1.4296652   0.5523871 1.40965109 -0.0036114   0.0060466
-0.87129999 -0.53453517 -0.27684405 -0.01232705  1.4296652   0.58747872 1.37392694 -0.00941691  0.04406949
-1.09470181 -0.642709   -0.34024114 -0.03000703  1.56962698  0.44711854 0.8227696   0.02187682 -0.12208706
 1.24467071 -0.11031167 -0.28495776 -0.04473609 -1.44803293 -0.62634618 0.85205071  0.02471889  5.71167554
1.23997906 -1.08241524  0.72039447 -0.0194675  -0.852491    0.08414118 -0.16822689  0.07300276  5.20163858
1.01711499  0.54441757 -0.42439487 -0.02459475 -1.14700342 -1.54974941 1.25494138  0.01331869  5.78514933
1.14409696  0.56638526  0.85535274 -0.01832759 -1.12311434 -1.48317692 1.2263972   0.032375    5.50342191
1.31450371  0.60335868 -0.16226649 -0.01198167 -1.30788162 -1.570796   0.73630202  0.03074436  5.52863836
0.676011665   0.773689219  -0.775978782   0.00708281492 -1.20854638  -1.57248575   1.57837803   0.00122566563 5.64547558
